,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
1573,ARKB,1.246119,2.358246,27.4,2025-03-31,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,87.646,-3.4999,82.01,1467000,4-4
1574,ARKB,1.289489,2.358246,28.2633,2025-04-01,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,87.646,-3.4759,76.73,2199900,4-4
1575,ARKB,1.315045,2.358246,28.92,2025-04-02,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,87.646,-3.4617,74.72,2528400,4-4
1576,ARKB,1.342466,2.358246,27.2533,2025-04-03,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,87.646,-3.4466,74.3,3152400,4-4
1577,ARKB,1.34342,1.852384,27.9233,2025-04-04,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,76.906,-3.446,76.2,4460100,4-4
1578,ARKB,1.352072,1.296697,25.9633,2025-04-07,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.108,-3.4412,83.44,10671900,4-4
1579,ARKB,1.30695,2.257407,25.5133,2025-04-08,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,85.505,-3.4662,80.49,3588900,4-4
1580,ARKB,1.285232,2.117442,27.3533,2025-04-09,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,82.533,-3.4783,85.19,6588300,4-4
1581,ARKB,1.335451,2.168,26.4567,2025-04-10,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,83.607,-3.4504,85.52,2561700,4-4
1582,ARKB,1.352366,1.744052,27.88,2025-04-11,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.606,-3.4411,86.0,3038100,4-4
1583,ARKB,1.309881,1.744052,28.25,2025-04-14,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.606,-3.4646,85.13,2700900,4-4
1584,ARKB,1.329843,1.718095,27.9433,2025-04-15,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.055,-3.4535,84.05,1987800,4-4
1585,ARKB,1.310231,1.863707,28.05,2025-04-16,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,77.146,-3.4644,82.27,2793600,4-4
1586,ARKB,1.263189,2.262078,28.2367,2025-04-17,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,85.604,-3.4905,82.53,2833800,4-4
1587,ARKB,1.248127,1.723229,29.0667,2025-04-21,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.164,-3.4988,87.75,5426100,4-4
1588,ARKB,1.2699,1.723229,30.4367,2025-04-22,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.164,-3.4868,94.0,5658600,4-4
